META_Base_Incubation_Period,META_Base_Infectious_Period,META_R0,META_Campaign_Efficacy,logscoreweights_regularized_for_distributions,logscore_age_at_infection,logscore_statewide_case_counts,total_logscore_for_scatterplots,SuiteID,ExpID
1.16046436482097,10.8498510369766,2.27281803381406,0.0356492873100649,372.701678551887,-3734.41453491072,1054.46318699903,-2679.9513479117,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
3.7874757944112,14.8587998517217,2.20311996477362,0.0889761800491111,371.493144935389,-3735.41216327309,896.396400021293,-2839.0157632518,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
1.55793232031557,10.0882248501144,1.78334055154781,0.0575905201105856,373.413892665135,-3717.1772043293,881.224730004002,-2835.9524743253,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
5.25168597867069,13.0978448017754,2.83517862736262,0.125618843034933,365.99762992683,-3791.36520286816,1000.29087230984,-2791.07433055832,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.22304697699355,11.3491552075468,2.49903739788624,0.141208561147883,370.092675594981,-3756.85285071208,1037.77981402629,-2719.07303668579,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
1.5739385210827,13.3137088965809,1.5024154374161,0.0800760636093125,374.776412786484,-3715.33025138472,1047.87638036496,-2667.45387101976,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
4.96564809788208,8.16622745448387,1.28259506528414,0.0869201279113306,367.212910614811,-3744.78443016249,429.998928088454,-3314.78550207404,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
4.79751155843297,4.52814344025617,2.73750951136207,0.0303575290415186,368.041955970346,-3778.7611440751,1093.00888188708,-2685.75226218802,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
2.8901088465095,13.8656548400208,2.58309061096585,0.070075617937621,369.983925597293,-3763.4540063466,1127.73830451144,-2635.71570183516,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.81521354364686,8.18065542664736,1.89074216426386,0.0239889270301126,374.494359612854,-3709.27761726953,910.418577519275,-2798.85903975026,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
4.31385227905779,4.1794108892679,1.81856604813645,0.0415378993178101,375.370889844557,-3706.44463384108,991.311196029335,-2715.13343781175,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.98110385463137,5.0835513399962,1.98655849846031,0.0735436313059913,373.190783437445,-3720.50443232836,902.332649201592,-2818.17178312677,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
3.22296192009419,7.51961958665917,1.13996801968658,0.0669582609451652,-925.105415762075,-12985.6623748106,-37809.7929558133,-50795.4553306239,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
4.02660599283861,8.0730146538052,1.54299206703602,0.00107789902795859,373.927069549066,-3712.17321725145,875.058408044452,-2837.11480920699,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.40922706417847,11.0661743518057,1.97991622185847,0.0498806096704671,374.099610923081,-3715.64358555385,955.430258741042,-2760.21332681281,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.10203273270935,11.0684039831057,2.49510161083602,0.134070951411351,370.684976633095,-3755.89844268358,1107.8006350587,-2648.09780762488,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
3.51944651064268,9.35394843810332,1.979945415803,0.0172791719755653,374.109485570614,-3712.74860045653,910.532446428689,-2802.21615402784,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
2.57001782377076,11.1988328356633,2.37925405348043,0.0371122225581185,371.302326116055,-3743.78850903704,1002.94002226024,-2740.8484867768,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
5.65805340885671,9.60528957473661,1.74331948890625,0.0272837053597917,372.923746168723,-3711.68208246143,722.721684634673,-2988.96039782676,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.36401238833555,6.9994748328032,2.4398905979248,0.0550921122103413,370.90693501171,-3750.20844804127,1048.72272730236,-2701.48572073892,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
5.13675553211515,9.40951964012429,3.25610089841264,0.0806948145263358,359.738812914896,-3847.84211530199,1002.65182153263,-2845.19029376936,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
7.07065531730646,11.6806024418014,1.80261613957798,0.0771301364175054,375.426086731729,-3707.54854377681,1016.92210675367,-2690.62643702314,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
6.89565430882989,8.58404914965859,2.42661406418231,0.0976472382227459,371.364012721788,-3750.58923868901,1120.63456791748,-2629.95467077153,22867b27-beef-e411-93f9-f0921c16b9e7,06820e01-80f0-e411-93f9-f0921c16b9e7
