META_R0_and_susceptibility_scaling,META_Campaign_Efficacy,META_RI_Coverage,META_Dual_Migration,META_LGA_Coverage_StdDev,logscoreweights_regularized_for_distributions,logscore_age_at_infection,logscore_statewide_case_counts,logscore_Fraction_LGAs_reporting,logscore_LGA_case_counts,total_logscore_for_scatterplots,SuiteID,ExpID
3.92102432689227,0.201974001154075,0.042226594727986,2.67015568562107e-06,0.150966834707698,160.097556089899,-3481.30064067193,747.402173252918,-379.063477677357,-670.253708033502,-3783.21565312987,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
7.47995475401938,0.0771511471581252,0.14629044240646,7.68974866165453e-07,0.0370520815219027,175.553742867049,-3475.82579225139,1307.04888942978,-316.720819093332,-620.070764137668,-3105.56848605261,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
2.8265573500155,0.24406776058573,0.157949928854417,5.19856049775655e-07,0.47077782462604,142.764825600338,-3601.02913490719,831.952388278101,-425.175576432128,-686.425995751385,-3880.6783188126,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
5.86678966506916,0.0822129521459936,0.139414083092948,3.09384529028926e-08,0.447794620795825,161.145300266024,-3510.60590696026,1183.52049117432,-408.20073652892,-655.3176806517,-3390.60383296657,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
3.99908416326493,0.439515132983892,0.221240285943736,1.49817110915508e-06,0.533169342965211,125.658713406836,-3578.50592548136,-36.914380787206,-457.488098399036,-759.797229326837,-4832.70563399444,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
7.66033062030117,0.172539353743242,0.0195600052876258,1.13013719370461e-06,0.188520105418511,196.650401699188,-3467.94030291135,1612.62801468729,-136.766406796738,-556.468870664744,-2548.54756568554,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
6.71303300827778,0.115863325353398,0.299768764823091,4.93688477736123e-07,0.408070179490582,131.747819838265,-3533.17661570757,440.532491355503,-508.428607269506,-760.640623042447,-4361.71335466402,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
7.38022825351548,0.350090955252786,0.019852596398764,2.13436075362086e-07,0.0981903240546229,136.160019787279,-3503.3043255247,546.864218302829,-417.638624335028,-781.210267826702,-4155.2889993836,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
6.50531298169694,0.050752615200413,0.186228109137904,2.29760196114823e-07,0.231338607107255,182.652911561745,-3483.40699743064,1384.76024315179,-260.285824961541,-589.768336788028,-2948.70091602842,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
3.44816016637592,0.362232600619745,0.136691846847095,1.4027453417039e-06,0.101957783858416,-102.443206822058,-3539.2881834758,-9960.97314393505,-454.024256583401,-1741.91742402665,-15696.2030080209,8b26955-e4fd-e411-93f7-f0921c16849b\,074e8718-2fff-e411-93f7-f0921c16849b
