META_Base_Incubation_Period,META_Base_Infectious_Period,META_R0,META_Campaign_Efficacy,config_parameters_Susceptibility_Scaling_Rate,config_parameters_Susceptibility_Scaling_Age0_Intercept,logscoreweights_regularized_for_distributions,logscore_age_at_infection,logscore_statewide_case_counts,total_logscore_for_scatterplots,SuiteID,ExpID
9.49707014785294,12.8249931538072,9.49677257589241,0.258016336377858,0.212909780445354,0.0512413783380336,399.350357147973,-3509.95066289062,1300.45095251375,-2209.49971037688,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
7.96340739591555,18.617689742591,8.81606858752234,0.154785229596669,0.166950102446341,0.00566590940396039,391.080290283922,-3544.49548932682,662.278547069631,-2882.21694225719,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
9.85949254621885,19.2644232552654,9.02939600447233,0.116678256989181,0.0177204145613773,0.0600140745237019,-925.105415762075,-12985.6623748106,-37809.7929558133,-50795.4553306239,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
10.6897742399593,22.6941623545638,9.35302872241343,0.25749530407542,0.0568207217429124,0.0666505917264742,361.426292594906,-3747.63621012252,-357.645587417399,-4105.28179753992,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
7.85973452401258,18.3291948916259,7.50342755320987,0.148918597333931,0.28650103547994,0.00773726582576985,403.311061187459,-3467.30671319705,1188.48913910261,-2278.81757409444,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
9.61850996961517,22.3860890978731,9.39896253292624,0.292939753595023,0.0497697890092382,0.0911902579386782,326.544821929419,-3708.50410940365,-6006.69097474953,-9715.19508415319,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
10.477231298143,17.2015730937499,6.7057366949011,0.195514687714553,0.45685743696978,0.0487485776937988,393.418616480567,-3538.73092171891,906.764437659808,-2631.9664840591,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
7.02256321959738,17.6182781242228,9.88799897803416,0.256869928397213,0.111316607665963,0.0217161765031239,377.775557716049,-3659.00366579251,578.527880747038,-3080.47578504548,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
8.46599470613711,16.8846836345391,8.40019721143971,0.343845787833498,0.186307424712688,0.0838737567624177,382.782203970192,-3551.08143366732,-427.270772659543,-3978.35220632686,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
7.5347725280185,22.9578765298117,9.3936364880836,0.223321250067161,0.0136797312541469,0.127985260539662,304.268052480799,-3748.69622212866,-8571.47197175067,-12320.1681938793,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
7.22774157859837,19.4340834774857,7.44278501533171,0.266157954402784,0.22705898445485,0.0417992531286251,391.461554895933,-3524.85788978823,402.979058581851,-3121.87883120638,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
10.2235751278284,15.9402500436781,9.38983425054465,0.247938466013853,0.216397795813005,0.163556268845292,380.415773982572,-3663.50902596108,1030.8047858233,-2632.70424013778,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
11.2800661595616,23.0250889675292,8.57653897721095,0.224797643308463,0.107674462955981,0.0639370527875928,382.520952627196,-3639.20631893499,945.107198231781,-2694.09912070321,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
12.0654698508767,21.6973404727555,5.56436771576821,0.0820619988308026,0.587252871538449,0.109550236095596,383.983208226577,-3615.46534077791,775.816354029525,-2839.64898674839,bc7d9a7-02f1-e411-93f9-f0921c16b9e7\,03033d3c-9ef1-e411-93f9-f0921c16b9e7
